cve,state,assigner,published,title,description,vendor,product,rating
CVE-2025-0014,PUBLISHED,AMD,2025-04-02T16:14:00.258Z,,"Incorrect default permissions on the AMD Ryzen(TM) AI installation folder could allow an attacker to achieve privilege escalation, potentially resulting in arbitrary code execution.",AMD,AMD Ryzen™ AI Software,hot
CVE-2025-0015,PUBLISHED,Arm,2025-02-03T10:21:12.696Z,Mali GPU Kernel Driver allows improper GPU processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to make improper GPU processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0; Arm 5th Gen GPU Architecture Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,warm
CVE-2025-0035,PUBLISHED,AMD,2025-05-13T17:06:57.397Z,,"Unquoted search path within AMD Cloud Manageability Service can allow a local attacker to escalate privileges, potentially resulting in arbitrary code execution.",AMD,AMD Cloud Manageability Service,hot
CVE-2025-0036,PUBLISHED,AMD,2025-06-09T23:57:39.748Z,,"In AMD Versal Adaptive SoC devices, the incorrect configuration of the SSS during runtime (post-boot) cryptographic operations could cause data to be incorrectly written to and read from invalid locations as well as returning incorrect cryptographic data.",AMD,Alveo V80 Compute Accelerator; Versal AI Core Series; Versal AI Edge Series; Versal Adaptive SoC Devices; Versal HBM Series; Versal Premium Series; Versal Prime Series; Versal RF Series,warm
CVE-2025-0037,PUBLISHED,AMD,2025-06-09T23:52:33.688Z,,"In AMD Versal Adaptive SoC devices, the lack of address validation when executing PLM runtime services through the PLM firmware can allow access to isolated or protected memory spaces, resulting in the loss of integrity and confidentiality.",AMD,Platform Loader and Manager (PLM),warm
CVE-2025-0050,PUBLISHED,Arm,2025-04-07T12:02:02.367Z,Mali GPU Userspace Driver allows an Out-of-Bounds access,"Improper Restriction of Operations within the Bounds of a Memory Buffer vulnerability in Arm Ltd Bifrost GPU Userspace Driver, Arm Ltd Valhall GPU Userspace Driver, Arm Ltd Arm 5th Gen GPU Architecture Userspace Driver allows a non-privileged user process to make valid GPU processing operations, including via WebGL or WebGPU, to access a limited amount outside of buffer bounds.This issue affects Bifrost GPU Userspace Driver: from r0p0 through r49p2, from r50p0 through r51p0; Valhall GPU Userspace Driver: from r19p0 through r49p2, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Userspace Driver: from r41p0 through r49p2, from r50p0 through r53p0.",ARM,Arm 5th Gen GPU Architecture Userspace Driver; Bifrost GPU Userspace Driver; Valhall GPU Userspace  Driver,warm
CVE-2025-0051,PUBLISHED,PureStorage,2025-06-10T17:29:43.451Z,FlashArray DOS Vulnerability,Improper input validation performed during the authentication process of FlashArray could lead to a system Denial of Service.,PURE STORAGE,FlashArray,warm
CVE-2025-0052,PUBLISHED,PureStorage,2025-06-10T17:39:21.299Z,FlashBlade DOS Vulnerability,Improper input validation performed during the authentication process of FlashBlade could lead to a system Denial of Service.,PURE STORAGE,FlashBlade,warm
CVE-2025-0053,PUBLISHED,sap,2025-01-14T00:08:21.600Z,Information Disclosure Vulnerability in SAP NetWeaver Application Server for ABAP and ABAP Platform,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an attacker to gain unauthorized access to system information. By using a specific URL parameter, an unauthenticated attacker could retrieve details such as system configuration. This has a limited impact on the confidentiality of the application and may be leveraged to facilitate further attacks or exploits.",SAP_SE,SAP NetWeaver Application Server for ABAP and ABAP Platform,warm
CVE-2025-0054,PUBLISHED,sap,2025-02-11T00:32:57.017Z,Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server Java,"SAP NetWeaver Application Server Java does not sufficiently handle user input, resulting in a stored cross-site scripting vulnerability. The application allows attackers with basic user privileges to store a Javascript payload on the server, which could be later executed in the victim's web browser. With this the attacker might be able to read or modify information associated with the vulnerable web page.",SAP_SE,SAP NetWeaver Application Server Java,warm
CVE-2025-0057,PUBLISHED,sap,2025-01-14T00:08:50.916Z,Cross-Site Scripting vulnerability in SAP NetWeaver AS JAVA (User Admin Application),"SAP NetWeaver AS JAVA (User Admin Application) is vulnerable to stored cross site scripting vulnerability. An attacker posing as an admin can upload a photo with malicious JS content. When a victim visits the vulnerable component, the attacker can read and modify information within the scope of victim's web browser.",SAP_SE,SAP NetWeaver AS JAVA (User Admin Application),warm
CVE-2025-0058,PUBLISHED,sap,2025-01-14T00:08:59.323Z,Information Disclosure vulnerability in SAP Business Workflow and SAP Flexible Workflow,"In SAP Business Workflow and SAP Flexible Workflow, an authenticated attacker can manipulate a parameter in an otherwise legitimate resource request to view sensitive information that should otherwise be restricted. The attacker does not have the ability to modify the information or to make the information unavailable.",SAP_SE,SAP Business Workflow and SAP Flexible Workflow,warm
CVE-2025-0060,PUBLISHED,sap,2025-01-14T00:09:14.051Z,Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP_SE,SAP BusinessObjects Business Intelligence Platform,warm
CVE-2025-0061,PUBLISHED,sap,2025-01-14T00:09:21.343Z,Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform,"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,hot
CVE-2025-0062,PUBLISHED,sap,2025-03-11T00:31:18.755Z,Cross-Site Scripting (XSS) vulnerability in SAP BusinessObjects Business Intelligence Platform (Web Intelligence),"SAP BusinessObjects Business Intelligence Platform allows an attacker to inject JavaScript code in Web Intelligence reports. This code is then executed in the victim's browser each time the vulnerable page is visited by the victim. On successful exploitation, an attacker could cause limited impact on confidentiality and integrity within the scope of victim?s browser. There is no impact on availability. This vulnerability occurs only when script/html execution is enabled by the administrator in Central Management Console.",SAP_SE,SAP BusinessObjects Business Intelligence Platform,warm
CVE-2025-0063,PUBLISHED,sap,2025-01-14T00:09:28.885Z,SQL Injection vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform,"SAP NetWeaver AS ABAP and ABAP Platform does not check for authorization when a user executes some RFC function modules. This could lead to an attacker with basic user privileges to gain control over the data in Informix database, leading to complete compromise of confidentiality, integrity and availability.",SAP_SE,SAP NetWeaver AS ABAP and ABAP Platform,hot
CVE-2025-0064,PUBLISHED,sap,2025-02-11T00:33:03.769Z,Improper Authorization in SAP BusinessObjects Business Intelligence platform (Central Management Console),"Under specific conditions, the Central Management Console of the SAP BusinessObjects Business Intelligence platform allows an attacker with admin rights to generate or retrieve a secret passphrase, enabling them to impersonate any user in the system. This results in a high impact on confidentiality and integrity, with no impact on availability.",SAP_SE,SAP BusinessObjects Business Intelligence platform (Central Management Console),hot
CVE-2025-0065,PUBLISHED,TV,2025-01-28T10:22:12.492Z,Improper Neutralization of Argument Delimiters in TeamViewer Clients,Improper Neutralization of Argument Delimiters in the TeamViewer_service.exe component of TeamViewer Clients prior version 15.62 for Windows allows an attacker with local unprivileged access on a Windows system to elevate privileges via argument injection.,TEAMVIEWER,Remote Full Client; Remote Host,hot
CVE-2025-0066,PUBLISHED,sap,2025-01-14T00:09:36.035Z,Information Disclosure vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),"Under certain conditions SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework) allows an attacker to access restricted information due to weak access controls. This can have a significant impact on the confidentiality, integrity, and availability of an application",SAP_SE,SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),hot
CVE-2025-0067,PUBLISHED,sap,2025-01-14T00:09:41.421Z,Missing Authorization check in SAP NetWeaver Application Server Java,"Due to a missing authorization check on service endpoints in the SAP NetWeaver Application Server Java, an attacker with standard user role can create JCo connection entries, which are used for remote function calls from or to the application server. This could lead to low impact on confidentiality, integrity, and availability of the application.",SAP_SE,SAP NetWeaver Application Server Java,warm
CVE-2025-0069,PUBLISHED,sap,2025-01-14T00:09:58.276Z,DLL Hijacking vulnerability in SAPSetup,"Due to DLL injection vulnerability in SAPSetup, an attacker with either local user privileges or with access to a compromised corporate user?s Windows account could gain higher privileges. With this, he could move laterally within the network and further compromise the active directory of a company. This leads to high impact on confidentiality, integrity and availability of the Windows server.",SAP_SE,SAPSetup,hot
CVE-2025-0070,PUBLISHED,sap,2025-01-14T00:10:03.199Z,Improper Authentication in SAP NetWeaver ABAP Server and ABAP Platform,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an authenticated attacker to obtain illegitimate access to the system by exploiting improper authentication checks, resulting in privilege escalation. On successful exploitation, this can result in potential security concerns. This results in a high impact on confidentiality, integrity, and availability.",SAP_SE,SAP NetWeaver Application Server for ABAP and ABAP Platform,hot
CVE-2025-0071,PUBLISHED,sap,2025-03-11T00:31:34.767Z,Information Disclosure vulnerability in SAP Web Dispatcher and Internet Communication Manager,"SAP Web Dispatcher and Internet Communication Manager allow an attacker with administrative privileges to enable debugging trace mode with a specific parameter value. This exposes unencrypted passwords in the logs, causing a high impact on the confidentiality of the application. There is no impact on integrity or availability.",SAP_SE,SAP Web Dispatcher and Internet Communication Manager,warm
CVE-2025-0072,PUBLISHED,Arm,2025-05-02T09:54:20.441Z,Mali GPU Kernel Driver allows improper GPU memory processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.

This issue affects Valhall GPU Kernel Driver: from r29p0 through r49p3, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r49p3, from r50p0 through r53p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,warm
CVE-2025-0073,PUBLISHED,Arm,2025-06-02T11:04:17.019Z,Mali GPU Kernel Driver allows improper GPU memory processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to perform improper GPU memory processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r53p0 before r54p0; Arm 5th Gen GPU Architecture Kernel Driver: from r53p0 before r54p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,warm
CVE-2025-0074,PUBLISHED,google_android,2025-08-26T22:48:35.616Z,,"In process_service_attr_rsp of sdp_discovery.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0075,PUBLISHED,google_android,2025-08-26T22:48:36.630Z,,"In process_service_search_attr_req of sdp_server.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
CVE-2025-0078,PUBLISHED,google_android,2025-08-26T22:48:37.637Z,,"In main of main.cpp, there is a possible way to bypass SELinux due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",GOOGLE,Android,hot
