cve	rating	assigner	published	title	description	vendor	product
CVE-2025-0014	hot	AMD	2025-04-02T16:14:00.258Z		"Incorrect default permissions on the AMD Ryzen(TM) AI installation folder could allow an attacker to achieve privilege escalation, potentially resulting in arbitrary code execution."	AMD	AMD Ryzen™ AI Software
CVE-2025-0035	hot	AMD	2025-05-13T17:06:57.397Z		"Unquoted search path within AMD Cloud Manageability Service can allow a local attacker to escalate privileges, potentially resulting in arbitrary code execution."	AMD	AMD Cloud Manageability Service
CVE-2025-0061	hot	sap	2025-01-14T00:09:21.343Z	Multiple vulnerabilities in SAP BusinessObjects Business Intelligence Platform	"SAP BusinessObjects Business Intelligence Platform allows an unauthenticated attacker to perform session hijacking over the network without any user interaction, due to an information disclosure vulnerability. Attacker can access and modify all the data of the application."	SAP_SE	SAP BusinessObjects Business Intelligence Platform
CVE-2025-0063	hot	sap	2025-01-14T00:09:28.885Z	SQL Injection vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform	"SAP NetWeaver AS ABAP and ABAP Platform does not check for authorization when a user executes some RFC function modules. This could lead to an attacker with basic user privileges to gain control over the data in Informix database, leading to complete compromise of confidentiality, integrity and availability."	SAP_SE	SAP NetWeaver AS ABAP and ABAP Platform
CVE-2025-0064	hot	sap	2025-02-11T00:33:03.769Z	Improper Authorization in SAP BusinessObjects Business Intelligence platform (Central Management Console)	"Under specific conditions, the Central Management Console of the SAP BusinessObjects Business Intelligence platform allows an attacker with admin rights to generate or retrieve a secret passphrase, enabling them to impersonate any user in the system. This results in a high impact on confidentiality and integrity, with no impact on availability."	SAP_SE	SAP BusinessObjects Business Intelligence platform (Central Management Console)
CVE-2025-0065	hot	TV	2025-01-28T10:22:12.492Z	Improper Neutralization of Argument Delimiters in TeamViewer Clients	Improper Neutralization of Argument Delimiters in the TeamViewer_service.exe component of TeamViewer Clients prior version 15.62 for Windows allows an attacker with local unprivileged access on a Windows system to elevate privileges via argument injection.	TEAMVIEWER	Remote Full Client; Remote Host
CVE-2025-0066	hot	sap	2025-01-14T00:09:36.035Z	Information Disclosure vulnerability in SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework)	"Under certain conditions SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework) allows an attacker to access restricted information due to weak access controls. This can have a significant impact on the confidentiality, integrity, and availability of an application"	SAP_SE	SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework)
CVE-2025-0069	hot	sap	2025-01-14T00:09:58.276Z	DLL Hijacking vulnerability in SAPSetup	"Due to DLL injection vulnerability in SAPSetup, an attacker with either local user privileges or with access to a compromised corporate user?s Windows account could gain higher privileges. With this, he could move laterally within the network and further compromise the active directory of a company. This leads to high impact on confidentiality, integrity and availability of the Windows server."	SAP_SE	SAPSetup
CVE-2025-0070	hot	sap	2025-01-14T00:10:03.199Z	Improper Authentication in SAP NetWeaver ABAP Server and ABAP Platform	"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an authenticated attacker to obtain illegitimate access to the system by exploiting improper authentication checks, resulting in privilege escalation. On successful exploitation, this can result in potential security concerns. This results in a high impact on confidentiality, integrity, and availability."	SAP_SE	SAP NetWeaver Application Server for ABAP and ABAP Platform
CVE-2025-0074	hot	google_android	2025-08-26T22:48:35.616Z		"In process_service_attr_rsp of sdp_discovery.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation."	GOOGLE	Android
CVE-2025-0075	hot	google_android	2025-08-26T22:48:36.630Z		"In process_service_search_attr_req of sdp_server.cc, there is a possible way to execute arbitrary code due to a use after free. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation."	GOOGLE	Android
