cve	rating	assigner	published	title	description	vendor	product
CVE-2025-0015	warm	Arm	2025-02-03T10:21:12.696Z	Mali GPU Kernel Driver allows improper GPU processing operations	"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to make improper GPU processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0; Arm 5th Gen GPU Architecture Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0."	ARM	Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver
CVE-2025-0036	warm	AMD	2025-06-09T23:57:39.748Z		"In AMD Versal Adaptive SoC devices, the incorrect configuration of the SSS during runtime (post-boot) cryptographic operations could cause data to be incorrectly written to and read from invalid locations as well as returning incorrect cryptographic data."	AMD	Alveo V80 Compute Accelerator; Versal AI Core Series; Versal AI Edge Series; Versal Adaptive SoC Devices; Versal HBM Series; Versal Premium Series; Versal Prime Series; Versal RF Series
CVE-2025-0037	warm	AMD	2025-06-09T23:52:33.688Z		"In AMD Versal Adaptive SoC devices, the lack of address validation when executing PLM runtime services through the PLM firmware can allow access to isolated or protected memory spaces, resulting in the loss of integrity and confidentiality."	AMD	Platform Loader and Manager (PLM)
CVE-2025-0050	warm	Arm	2025-04-07T12:02:02.367Z	Mali GPU Userspace Driver allows an Out-of-Bounds access	"Improper Restriction of Operations within the Bounds of a Memory Buffer vulnerability in Arm Ltd Bifrost GPU Userspace Driver, Arm Ltd Valhall GPU Userspace Driver, Arm Ltd Arm 5th Gen GPU Architecture Userspace Driver allows a non-privileged user process to make valid GPU processing operations, including via WebGL or WebGPU, to access a limited amount outside of buffer bounds.This issue affects Bifrost GPU Userspace Driver: from r0p0 through r49p2, from r50p0 through r51p0; Valhall GPU Userspace Driver: from r19p0 through r49p2, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Userspace Driver: from r41p0 through r49p2, from r50p0 through r53p0."	ARM	Arm 5th Gen GPU Architecture Userspace Driver; Bifrost GPU Userspace Driver; Valhall GPU Userspace  Driver
CVE-2025-0051	warm	PureStorage	2025-06-10T17:29:43.451Z	FlashArray DOS Vulnerability	Improper input validation performed during the authentication process of FlashArray could lead to a system Denial of Service.	PURE STORAGE	FlashArray
CVE-2025-0052	warm	PureStorage	2025-06-10T17:39:21.299Z	FlashBlade DOS Vulnerability	Improper input validation performed during the authentication process of FlashBlade could lead to a system Denial of Service.	PURE STORAGE	FlashBlade
CVE-2025-0053	warm	sap	2025-01-14T00:08:21.600Z	Information Disclosure Vulnerability in SAP NetWeaver Application Server for ABAP and ABAP Platform	"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an attacker to gain unauthorized access to system information. By using a specific URL parameter, an unauthenticated attacker could retrieve details such as system configuration. This has a limited impact on the confidentiality of the application and may be leveraged to facilitate further attacks or exploits."	SAP_SE	SAP NetWeaver Application Server for ABAP and ABAP Platform
CVE-2025-0054	warm	sap	2025-02-11T00:32:57.017Z	Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server Java	"SAP NetWeaver Application Server Java does not sufficiently handle user input, resulting in a stored cross-site scripting vulnerability. The application allows attackers with basic user privileges to store a Javascript payload on the server, which could be later executed in the victim's web browser. With this the attacker might be able to read or modify information associated with the vulnerable web page."	SAP_SE	SAP NetWeaver Application Server Java
CVE-2025-0057	warm	sap	2025-01-14T00:08:50.916Z	Cross-Site Scripting vulnerability in SAP NetWeaver AS JAVA (User Admin Application)	"SAP NetWeaver AS JAVA (User Admin Application) is vulnerable to stored cross site scripting vulnerability. An attacker posing as an admin can upload a photo with malicious JS content. When a victim visits the vulnerable component, the attacker can read and modify information within the scope of victim's web browser."	SAP_SE	SAP NetWeaver AS JAVA (User Admin Application)
CVE-2025-0058	warm	sap	2025-01-14T00:08:59.323Z	Information Disclosure vulnerability in SAP Business Workflow and SAP Flexible Workflow	"In SAP Business Workflow and SAP Flexible Workflow, an authenticated attacker can manipulate a parameter in an otherwise legitimate resource request to view sensitive information that should otherwise be restricted. The attacker does not have the ability to modify the information or to make the information unavailable."	SAP_SE	SAP Business Workflow and SAP Flexible Workflow
