cve,published,title,description,vendor,product,score,severity,rating
CVE-2025-13828,2025-12-02 16:54:58.898000+00:00,Mautic user without privileged access to the Marketplace can install and uninstall composer packages,"SummaryA non privileged user can install and remove arbitrary packages via composer for a composer based installed, even if the flag in update settings for enable composer based update is unticked.

ImpactA low-privileged user of the platform can install malicious code to obtain higher privileges.",Mautic,Mautic,,,warm
CVE-2025-13827,2025-12-02 16:54:39.986000+00:00,GrapesJsBuilder File Upload allows all file uploads,"Summary
Arbitrary files can be uploaded via the GrapesJS Builder, as the types of files that can be uploaded are not restricted. 
ImpactIf the media folder is not restricted from running files this can lead to a remote code execution.",Mautic,Mautic,,,hot
CVE-2025-13877,2025-12-02 16:02:05.857000+00:00,nocobase JWT Service jwt-service.ts hard-coded key,"A vulnerability was detected in nocobase up to 1.9.4/2.0.0-alpha.37. The affected element is an unknown function of the file nocobase\packages\core\auth\src\base\jwt-service.ts of the component JWT Service. The manipulation of the argument API_KEY results in use of hard-coded cryptographic key . The attack can be launched remotely. A high complexity level is associated with this attack. The exploitability is described as difficult. The exploit is now public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.",n/a,nocobase,5.6,MEDIUM,cold
CVE-2025-12630,2025-12-02 15:57:41.377000+00:00,Upload.am File Hosting VPN < 1.0.1 - Contributor+ Arbitrary Option Disclosure,"The Upload.am  WordPress plugin before 1.0.1 is vulnerable to arbitrary option disclosure due to a missing capability check on its AJAX request handler, allowing users such as contributor to view site options.",Unknown,Upload.am,,,cold
CVE-2025-58113,2025-12-02 15:32:20.095000+00:00,,"An out-of-bounds read vulnerability exists in the EMF functionality of PDF-XChange Co. Ltd PDF-XChange Editor 10.7.3.401.  By using a specially crafted EMF file, an attacker could exploit this vulnerability to perform an out-of-bounds read, potentially leading to the disclosure of sensitive information.",PDF-XChange Co. Ltd,PDF-XChange Editor,6.5,MEDIUM,warm
CVE-2025-64460,2025-12-02 15:15:34.451000+00:00,Potential denial-of-service vulnerability in XML serializer text extraction,"An issue was discovered in 5.2 before 5.2.9, 5.1 before 5.1.15, and 4.2 before 4.2.27.
Algorithmic complexity in `django.core.serializers.xml_serializer.getInnerText()` allows a remote attacker to cause a potential denial-of-service attack triggering CPU and memory exhaustion via specially crafted XML input processed by the XML `Deserializer`.
Earlier, unsupported Django series (such as 5.0.x, 4.1.x, and 3.2.x) were not evaluated and may also be affected.
Django would like to thank Seokchan Yoon for reporting this issue.",djangoproject,Django,,,cold
CVE-2025-13372,2025-12-02 15:13:35.692000+00:00,Potential SQL injection in FilteredRelation column aliases on PostgreSQL,"An issue was discovered in 5.2 before 5.2.9, 5.1 before 5.1.15, and 4.2 before 4.2.27.
`FilteredRelation` is subject to SQL injection in column aliases, using a suitably crafted dictionary, with dictionary expansion, as the `**kwargs` passed to `QuerySet.annotate()` or `QuerySet.alias()` on PostgreSQL.
Earlier, unsupported Django series (such as 5.0.x, 4.1.x, and 3.2.x) were not evaluated and may also be affected.
Django would like to thank Stackered for reporting this issue.",djangoproject,Django,,,cold
CVE-2025-13876,2025-12-02 15:02:08.239000+00:00,Rareprob HD Video Player All Formats App com.rocks.music.videoplayer path traversal,A security vulnerability has been detected in Rareprob HD Video Player All Formats App 12.1.372 on Android. Impacted is an unknown function of the component com.rocks.music.videoplayer. The manipulation leads to path traversal. The attack needs to be performed locally. The exploit has been disclosed publicly and may be used. The vendor was contacted early about this disclosure but did not respond in any way.,Rareprob,HD Video Player All Formats App,5.3,MEDIUM,cold
CVE-2025-13875,2025-12-02 15:02:05.943000+00:00,Yohann0617 oci-helper OCI Configuration Upload OciServiceImpl.java addCfg path traversal,A weakness has been identified in Yohann0617 oci-helper up to 3.2.4. This issue affects the function addCfg of the file src/main/java/com/yohann/ocihelper/service/impl/OciServiceImpl.java of the component OCI Configuration Upload. Executing manipulation of the argument File can lead to path traversal. It is possible to launch the attack remotely. The exploit has been made available to the public and could be exploited. The vendor was contacted early about this disclosure but did not respond in any way.,Yohann0617,oci-helper,6.3,MEDIUM,cold
CVE-2025-13505,2025-12-02 14:22:25.994000+00:00,Stored XSS in Datateam's Datactive,"Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting'), Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS) vulnerability in Datateam Information Technologies Inc. Datactive allows Stored XSS.This issue affects Datactive: from 2.13.34 before 2.14.0.6.",Datateam Information Technologies Inc.,Datactive,4.8,MEDIUM,cold
