,cve,assigner,published,title,description,vendor,product,affected versions,rating
1,CVE-2025-0014,AMD,2025-04-02T16:14:00.258Z,,"Incorrect default permissions on the AMD Ryzen(TM) AI installation folder could allow an attacker to achieve privilege escalation, potentially resulting in arbitrary code execution.",AMD,AMD Ryzen™ AI Software,1.3,hot
2,CVE-2025-0015,Arm,2025-02-03T10:21:12.696Z,Mali GPU Kernel Driver allows improper GPU processing operations,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user process to make improper GPU processing operations to gain access to already freed memory.This issue affects Valhall GPU Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0; Arm 5th Gen GPU Architecture Kernel Driver: from r48p0 through r49p1, from r50p0 through r52p0.",ARM,Arm 5th Gen GPU Architecture Kernel Driver; Valhall GPU Kernel Driver,r48p0; r50p0,warm
3,CVE-2025-0035,AMD,2025-05-13T17:06:57.397Z,,"Unquoted search path within AMD Cloud Manageability Service can allow a local attacker to escalate privileges, potentially resulting in arbitrary code execution.",AMD,AMD Cloud Manageability Service,2.0.0.262,hot
4,CVE-2025-0036,AMD,2025-06-09T23:57:39.748Z,,"In AMD Versal Adaptive SoC devices, the incorrect configuration of the SSS during runtime (post-boot) cryptographic operations could cause data to be incorrectly written to and read from invalid locations as well as returning incorrect cryptographic data.",AMD,Alveo V80 Compute Accelerator; Versal AI Core Series; Versal AI Edge Series; Versal Adaptive SoC Devices; Versal HBM Series; Versal Premium Series; Versal Prime Series; Versal RF Series,2025.1 release,warm
5,CVE-2025-0037,AMD,2025-06-09T23:52:33.688Z,,"In AMD Versal Adaptive SoC devices, the lack of address validation when executing PLM runtime services through the PLM firmware can allow access to isolated or protected memory spaces, resulting in the loss of integrity and confidentiality.",AMD,Platform Loader and Manager (PLM),Refer to AMD-SB-8010,warm
7,CVE-2025-0050,Arm,2025-04-07T12:02:02.367Z,Mali GPU Userspace Driver allows an Out-of-Bounds access,"Improper Restriction of Operations within the Bounds of a Memory Buffer vulnerability in Arm Ltd Bifrost GPU Userspace Driver, Arm Ltd Valhall GPU Userspace Driver, Arm Ltd Arm 5th Gen GPU Architecture Userspace Driver allows a non-privileged user process to make valid GPU processing operations, including via WebGL or WebGPU, to access a limited amount outside of buffer bounds.This issue affects Bifrost GPU Userspace Driver: from r0p0 through r49p2, from r50p0 through r51p0; Valhall GPU Userspace Driver: from r19p0 through r49p2, from r50p0 through r53p0; Arm 5th Gen GPU Architecture Userspace Driver: from r41p0 through r49p2, from r50p0 through r53p0.",ARM,Arm 5th Gen GPU Architecture Userspace Driver; Bifrost GPU Userspace Driver; Valhall GPU Userspace  Driver,r0p0; r19p0; r41p0; r50p0,warm
8,CVE-2025-0051,PureStorage,2025-06-10T17:29:43.451Z,FlashArray DOS Vulnerability,Improper input validation performed during the authentication process of FlashArray could lead to a system Denial of Service.,PURE STORAGE,FlashArray,5.0.0; 5.1.1; 5.2.0; 5.3.0; 6.0.0; 6.1.0; 6.2.0; 6.3.0; 6.4.0; 6.5.0; 6.6.0; 6.7.0; 6.8.0,warm
9,CVE-2025-0052,PureStorage,2025-06-10T17:39:21.299Z,FlashBlade DOS Vulnerability,Improper input validation performed during the authentication process of FlashBlade could lead to a system Denial of Service.,PURE STORAGE,FlashBlade,3.3.0; 4.0.0; 4.1.0; 4.2.0; 4.3.0; 4.4.0; 4.5.0,warm
10,CVE-2025-0053,sap,2025-01-14T00:08:21.600Z,Information Disclosure Vulnerability in SAP NetWeaver Application Server for ABAP and ABAP Platform,"SAP NetWeaver Application Server for ABAP and ABAP Platform allows an attacker to gain unauthorized access to system information. By using a specific URL parameter, an unauthenticated attacker could retrieve details such as system configuration. This has a limited impact on the confidentiality of the application and may be leveraged to facilitate further attacks or exploits.",SAP_SE,SAP NetWeaver Application Server for ABAP and ABAP Platform,SAP_BASIS 700; SAP_BASIS 701; SAP_BASIS 702; SAP_BASIS 731; SAP_BASIS 740; SAP_BASIS 750; SAP_BASIS 751; SAP_BASIS 752; SAP_BASIS 753; SAP_BASIS 754; SAP_BASIS 755; SAP_BASIS 756; SAP_BASIS 757,warm
11,CVE-2025-0054,sap,2025-02-11T00:32:57.017Z,Cross-Site Scripting (XSS) vulnerability in SAP NetWeaver Application Server Java,"SAP NetWeaver Application Server Java does not sufficiently handle user input, resulting in a stored cross-site scripting vulnerability. The application allows attackers with basic user privileges to store a Javascript payload on the server, which could be later executed in the victim's web browser. With this the attacker might be able to read or modify information associated with the vulnerable web page.",SAP_SE,SAP NetWeaver Application Server Java,EP-BASIS 7.50; FRAMEWORK-EXT 7.50,warm
