	cveID	vendorProject	product	shortDescription	Predicted_Label
0	CVE-2025-21258	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
1	CVE-2025-21171	Microsoft	.NET 9.0	.NET Remote Code Execution Vulnerability	hot
2	CVE-2025-21599	Juniper Networks	Junos OS Evolved	"A Missing Release of Memory after Effective Lifetime vulnerability in the Juniper Tunnel Driver (jtd) of Juniper Networks Junos OS Evolved allows an unauthenticated network-based attacker to cause Denial of Service. 

Receipt of specifically malformed IPv6 packets, destined to the device, causes kernel memory to not be freed, resulting in memory exhaustion leading to a system crash and Denial of Service (DoS). Continuous receipt and processing of these packets will continue to exhaust kernel memory, creating a sustained Denial of Service (DoS) condition.
This issue only affects systems configured with IPv6.

This issue affects Junos OS Evolved: 



  *  from 22.4-EVO before 22.4R3-S5-EVO, 
  *  from 23.2-EVO before 23.2R2-S2-EVO, 
  *  from 23.4-EVO before 23.4R2-S2-EVO, 
  *  from 24.2-EVO before 24.2R1-S2-EVO, 24.2R2-EVO.




This issue does not affect Juniper Networks Junos OS Evolved versions prior to 22.4R1-EVO."	hot
3	CVE-2025-21219	Microsoft	Windows 10 Version 1809	MapUrlToZone Security Feature Bypass Vulnerability	hot
4	CVE-2025-21130	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
5	CVE-2025-21370	Microsoft	Windows 11 version 22H2	Windows Virtualization-Based Security (VBS) Enclave Elevation of Privilege Vulnerability	hot
6	CVE-2025-21235	Microsoft	Windows Server 2022	Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability	hot
7	CVE-2025-21409	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
8	CVE-2025-21327	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
9	CVE-2025-21331	Microsoft	Windows 10 Version 1809	Windows Installer Elevation of Privilege Vulnerability	hot
10	CVE-2025-21624	MacWarrior	clipbucket-v5	"ClipBucket V5 provides open source video hosting with PHP. Prior to 5.5.1 - 239, a file upload vulnerability exists in the Manage Playlist functionality of the application, specifically surrounding the uploading of playlist cover images. Without proper checks, an attacker can upload a PHP script file instead of an image file, thus allowing a webshell or other malicious files to be stored and executed on the server. This attack vector exists in both the admin area and low-level user area. This vulnerability is fixed in 5.5.1 - 239."	cold
11	CVE-2025-21274	Microsoft	Windows 10 Version 1809	Windows Event Tracing Denial of Service Vulnerability	hot
12	CVE-2025-21366	Microsoft	Microsoft Office 2019	Microsoft Access Remote Code Execution Vulnerability	hot
13	CVE-2025-21223	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
14	CVE-2025-21389	Microsoft	Windows 10 Version 1809	Windows upnphost.dll Denial of Service Vulnerability	hot
15	CVE-2025-21604	moyangzhan	langchain4j-aideepin	"LangChain4j-AIDeepin is a Retrieval enhancement generation (RAG) project. Prior to 3.5.0, LangChain4j-AIDeepin uses MD5 to hash files, which may cause file upload conflicts. This issue is fixed in 3.5.0."	cold
16	CVE-2025-21311	Microsoft	Windows Server 2025 (Server Core installation)	Windows NTLM V1 Elevation of Privilege Vulnerability	hot
17	CVE-2025-21346	Microsoft	Microsoft Office 2019	Microsoft Office Security Feature Bypass Vulnerability	hot
18	CVE-2025-21215	Microsoft	Windows 10 Version 1809	Secure Boot Security Feature Bypass Vulnerability	hot
19	CVE-2025-21242	Microsoft	Windows 10 Version 1809	Windows Kerberos Information Disclosure Vulnerability	cold
20	CVE-2025-21612	StarCitizenTools	mediawiki-extensions-TabberNeue	"TabberNeue is a MediaWiki extension that allows the wiki to create tabs. Prior to 2.7.2, TabberTransclude.php doesn't escape the user-supplied page name when outputting, so an XSS payload as the page name can be used here. This vulnerability is fixed in 2.7.2."	cold
21	CVE-2025-21307	Microsoft	Windows 10 Version 1809	Windows Reliable Multicast Transport Driver (RMCAST) Remote Code Execution Vulnerability	hot
22	CVE-2025-21405	Microsoft	Microsoft Visual Studio 2022 version 17.12	Visual Studio Elevation of Privilege Vulnerability	cold
23	CVE-2025-21239	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
24	CVE-2025-21393	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Spoofing Vulnerability	hot
25	CVE-2025-21281	Microsoft	Windows 10 Version 1809	Microsoft COM for Windows Elevation of Privilege Vulnerability	hot
26	CVE-2025-21297	Microsoft	Windows Server 2019	Windows Remote Desktop Services Remote Code Execution Vulnerability	hot
27	CVE-2025-21278	Microsoft	Windows 10 Version 1809	Windows Remote Desktop Gateway (RD Gateway) Denial of Service Vulnerability	hot
28	CVE-2025-21628	chatwoot	chatwoot	"Chatwoot is a customer engagement suite. Prior to 3.16.0, conversation and contact filters endpoints did not sanitize the input of query_operator passed from the frontend or the API. This provided any actor who is authenticated, an attack vector to run arbitrary SQL within the filter query by adding a tautological WHERE clause. This issue is patched with v3.16.0."	cold
29	CVE-2025-21413	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
30	CVE-2025-21385	Microsoft	Microsoft Purview	A Server-Side Request Forgery (SSRF) vulnerability in Microsoft Purview allows an authorized attacker to disclose information over a network.	hot
31	CVE-2025-21296	Microsoft	Windows 10 Version 1809	BranchCache Remote Code Execution Vulnerability	hot
32	CVE-2025-21629	Linux	Linux	"In the Linux kernel, the following vulnerability has been resolved:

net: reenable NETIF_F_IPV6_CSUM offload for BIG TCP packets

The blamed commit disabled hardware offoad of IPv6 packets with
extension headers on devices that advertise NETIF_F_IPV6_CSUM,
based on the definition of that feature in skbuff.h:

 *   * - %NETIF_F_IPV6_CSUM
 *     - Driver (device) is only able to checksum plain
 *       TCP or UDP packets over IPv6. These are specifically
 *       unencapsulated packets of the form IPv6|TCP or
 *       IPv6|UDP where the Next Header field in the IPv6
 *       header is either TCP or UDP. IPv6 extension headers
 *       are not supported with this feature. This feature
 *       cannot be set in features for a device with
 *       NETIF_F_HW_CSUM also set. This feature is being
 *       DEPRECATED (see below).

The change causes skb_warn_bad_offload to fire for BIG TCP
packets.

[  496.310233] WARNING: CPU: 13 PID: 23472 at net/core/dev.c:3129 skb_warn_bad_offload+0xc4/0xe0

[  496.310297]  ? skb_warn_bad_offload+0xc4/0xe0
[  496.310300]  skb_checksum_help+0x129/0x1f0
[  496.310303]  skb_csum_hwoffload_help+0x150/0x1b0
[  496.310306]  validate_xmit_skb+0x159/0x270
[  496.310309]  validate_xmit_skb_list+0x41/0x70
[  496.310312]  sch_direct_xmit+0x5c/0x250
[  496.310317]  __qdisc_run+0x388/0x620

BIG TCP introduced an IPV6_TLV_JUMBO IPv6 extension header to
communicate packet length, as this is an IPv6 jumbogram. But, the
feature is only enabled on devices that support BIG TCP TSO. The
header is only present for PF_PACKET taps like tcpdump, and not
transmitted by physical devices.

For this specific case of extension headers that are not
transmitted, return to the situation before the blamed commit
and support hardware offload.

ipv6_has_hopopt_jumbo() tests not only whether this header is present,
but also that it is the only extension header before a terminal (L4)
header."	cold
33	CVE-2025-21280	Microsoft	Windows 10 Version 1809	Windows Virtual Trusted Platform Module Denial of Service Vulnerability	hot
34	CVE-2025-21238	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
35	CVE-2025-21111	Dell	Dell VxRail HCI	"Dell VxRail, versions 8.0.000 through 8.0.311, contain(s) a Plaintext Storage of a Password vulnerability. A high privileged attacker with local access could potentially exploit this vulnerability, leading to Information exposure."	cold
36	CVE-2025-21243	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
37	CVE-2025-21613	go-git	go-git	"go-git is a highly extensible git implementation library written in pure Go. An argument injection vulnerability was discovered in go-git versions prior to v5.13. Successful exploitation of this vulnerability could allow an attacker to set arbitrary values to git-upload-pack flags. This only happens when the file transport protocol is being used, as that is the only protocol that shells out to git binaries. This vulnerability is fixed in 5.13.0."	cold
38	CVE-2025-21306	Microsoft	Windows 10 Version 1809	Windows Telephony Service Remote Code Execution Vulnerability	hot
39	CVE-2025-21214	Microsoft	Windows 10 Version 1809	Windows BitLocker Information Disclosure Vulnerability	cold
40	CVE-2025-21202	Microsoft	Windows 10 Version 1809	Windows Recovery Environment Agent Elevation of Privilege Vulnerability	hot
41	CVE-2025-21255	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
42	CVE-2025-21310	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
43	CVE-2025-21193	Microsoft	Windows Server 2019	Active Directory Federation Server Spoofing Vulnerability	hot
44	CVE-2025-21330	Microsoft	Windows 10 Version 1809	Windows Remote Desktop Services Denial of Service Vulnerability	hot
45	CVE-2025-21275	Microsoft	Windows Server 2022	Windows App Package Installer Elevation of Privilege Vulnerability	hot
46	CVE-2025-21326	Microsoft	Windows Server 2025	Internet Explorer Remote Code Execution Vulnerability	hot
47	CVE-2025-21263	Microsoft	Windows 10 Version 1809	Windows Digital Media Elevation of Privilege Vulnerability	hot
48	CVE-2025-21234	Microsoft	Windows Server 2022	Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability	hot
49	CVE-2025-21189	Microsoft	Windows 10 Version 1809	MapUrlToZone Security Feature Bypass Vulnerability	hot
50	CVE-2025-21131	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.	hot
51	CVE-2025-21218	Microsoft	Windows Server 2019	Windows Kerberos Denial of Service Vulnerability	hot
