cveID	label	vendor	product	description
CVE-2025-21258	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21171	hot	Microsoft	.NET 9.0	.NET Remote Code Execution Vulnerability
CVE-2025-21599	hot	Juniper Networks	Junos OS Evolved	"A Missing Release of Memory after Effective Lifetime vulnerability in the Juniper Tunnel Driver (jtd) of Juniper Networks Junos OS Evolved allows an unauthenticated network-based attacker to cause Denial of Service. 

Receipt of specifically malformed IPv6 packets, destined to the device, causes kernel memory to not be freed, resulting in memory exhaustion leading to a system crash and Denial of Service (DoS). Continuous receipt and processing of these packets will continue to exhaust kernel memory, creating a sustained Denial of Service (DoS) condition.
This issue only affects systems configured with IPv6.

This issue affects Junos OS Evolved: 



  *  from 22.4-EVO before 22.4R3-S5-EVO, 
  *  from 23.2-EVO before 23.2R2-S2-EVO, 
  *  from 23.4-EVO before 23.4R2-S2-EVO, 
  *  from 24.2-EVO before 24.2R1-S2-EVO, 24.2R2-EVO.




This issue does not affect Juniper Networks Junos OS Evolved versions prior to 22.4R1-EVO."
CVE-2025-21219	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21130	hot	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21370	hot	Microsoft	Windows	Windows Virtualization-Based Security (VBS) Enclave Elevation of Privilege Vulnerability
CVE-2025-21235	hot	Microsoft	Windows	Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability
CVE-2025-21409	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21327	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21331	hot	Microsoft	Windows	Windows Installer Elevation of Privilege Vulnerability
CVE-2025-21274	hot	Microsoft	Windows	Windows Event Tracing Denial of Service Vulnerability
CVE-2025-21366	hot	Microsoft	Microsoft Office 2019	Microsoft Access Remote Code Execution Vulnerability
CVE-2025-21223	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21389	hot	Microsoft	Windows	Windows upnphost.dll Denial of Service Vulnerability
CVE-2025-21311	hot	Microsoft	Windows	Windows NTLM V1 Elevation of Privilege Vulnerability
CVE-2025-21346	hot	Microsoft	Microsoft Office 2019	Microsoft Office Security Feature Bypass Vulnerability
CVE-2025-21215	hot	Microsoft	Windows	Secure Boot Security Feature Bypass Vulnerability
CVE-2025-21242	hot	Microsoft	Windows	Windows Kerberos Information Disclosure Vulnerability
CVE-2025-21307	hot	Microsoft	Windows	Windows Reliable Multicast Transport Driver (RMCAST) Remote Code Execution Vulnerability
CVE-2025-21239	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21393	hot	Microsoft	Microsoft SharePoint Enterprise Server 2016	Microsoft SharePoint Server Spoofing Vulnerability
CVE-2025-21281	hot	Microsoft	Windows	Microsoft COM for Windows Elevation of Privilege Vulnerability
CVE-2025-21297	hot	Microsoft	Windows	Windows Remote Desktop Services Remote Code Execution Vulnerability
CVE-2025-21278	hot	Microsoft	Windows	Windows Remote Desktop Gateway (RD Gateway) Denial of Service Vulnerability
CVE-2025-21413	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21385	hot	Microsoft	Microsoft Purview	A Server-Side Request Forgery (SSRF) vulnerability in Microsoft Purview allows an authorized attacker to disclose information over a network.
CVE-2025-21296	hot	Microsoft	Windows	BranchCache Remote Code Execution Vulnerability
CVE-2025-21280	hot	Microsoft	Windows	Windows Virtual Trusted Platform Module Denial of Service Vulnerability
CVE-2025-21238	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21243	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21306	hot	Microsoft	Windows	Windows Telephony Service Remote Code Execution Vulnerability
CVE-2025-21185	hot	Microsoft	Microsoft Edge (Chromium-based)	Microsoft Edge (Chromium-based) Elevation of Privilege Vulnerability
CVE-2025-21214	hot	Microsoft	Windows	Windows BitLocker Information Disclosure Vulnerability
CVE-2025-21202	hot	Microsoft	Windows	Windows Recovery Environment Agent Elevation of Privilege Vulnerability
CVE-2025-21255	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21310	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21193	hot	Microsoft	Windows	Active Directory Federation Server Spoofing Vulnerability
CVE-2025-21330	hot	Microsoft	Windows	Windows Remote Desktop Services Denial of Service Vulnerability
CVE-2025-21275	hot	Microsoft	Windows	Windows App Package Installer Elevation of Privilege Vulnerability
CVE-2025-21326	hot	Microsoft	Windows	Internet Explorer Remote Code Execution Vulnerability
CVE-2025-21263	hot	Microsoft	Windows	Windows Digital Media Elevation of Privilege Vulnerability
CVE-2025-21234	hot	Microsoft	Windows	Windows PrintWorkflowUserSvc Elevation of Privilege Vulnerability
CVE-2025-21189	hot	Microsoft	Windows	MapUrlToZone Security Feature Bypass Vulnerability
CVE-2025-21131	hot	Adobe	Substance3D - Stager	Substance3D - Stager versions 3.0.4 and earlier are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.
CVE-2025-21218	hot	Microsoft	Windows	Windows Kerberos Denial of Service Vulnerability
