CVE,KEV Date,Rating,Github Timestamp,Date Status,RunLabel,File,Line,Status
CVE-2024-0582,2025-02-26,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"23969	CVE-2024-0582	Red Hat	Red Hat Enterprise Linux 6	A memory leak flaw was found in the Linux kernelâ€™s io_uring functionality in how a user registers a buffer ring with IORING_REGISTER_PBUF_RING, mmap() it, and then frees it. This flaw allows a local user to crash or potentially escalate their privileges on the system.	neutral	hot",OK
CVE-2024-0692,2025-06-25,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"23184	CVE-2024-0692	SolarWinds 	Security Event Manager 	The SolarWinds Security Event Manager was susceptible to Remote Code Execution Vulnerability. This vulnerability allows an unauthenticated user to abuse SolarWindsâ€™ service, resulting in remote code execution.	neutral	hot",OK
CVE-2024-10586,2025-07-18,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"13043	CVE-2024-10586	eugenbobrowski	Debug Tool	The Debug Tool plugin for WordPress is vulnerable to arbitrary file creation due to a missing capability check on the dbt_pull_image() function and missing file type validation in all versions up to, and including, 2.2. This makes it possible for unauthenticated attackers to to create arbitrary files such as .php files that can be leveraged for remote code execution.	neutral	hot",OK
CVE-2024-11120,2025-05-07,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"6060	CVE-2024-11120	GeoVision	GV-VS12	** UNSUPPPORTED WHEN ASSIGNED ** Certain EOL GeoVision devices have an OS Command Injection vulnerability. Unauthenticated remote attackers can exploit this vulnerability to inject and execute arbitrary system commands on the device. Moreover, this vulnerability has already been exploited by attackers, and we have received related reports.	neutral	hot",OK
CVE-2024-11182,2025-05-19,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,"CVE-2024-11182	MDaemon	Email Server	An XSS issue was discovered in 

MDaemon Email Server before versionÂ 24.5.1c. An attacker can send an HTML e-mail message 
with 
JavaScript in an img tag. This could
 allow a remote attacker

to load arbitrary JavaScript code in the context of a webmail user's browser window.	hot",OK
CVE-2024-11303,2025-03-11,hot,2025-01-07,,Jan 7 2025 run (2024 CVEs),2024\predictions-jan-7-run.txt,CVE-2024-11303	Korenix	JetPort 5601	The pathname of the root directory to a Restricted Directory ('Path Traversal') vulnerability in Korenix JetPort 5601 allows Path Traversal.This issue affects JetPort 5601: through 1.2.	hot,OK
CVE-2024-11350,2026-05-05,hot,2026-02-08,,May 24 2025 run (2024 CVEs),2024\2024-output-may-24.txt,"CVE-2024-11350	scriptsbundle	AdForest	The AdForest theme for WordPress is vulnerable to privilege escalation via account takeover in all versions up to, and including, 5.1.6. This is due to the plugin not properly validating a user's identity prior to updating their password through the adforest_reset_password() function. This makes it possible for unauthenticated attackers to change arbitrary user's passwords, including administrators, and leverage that to gain access to their account.	hot",OK
CVE-2024-11740,2025-09-11,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,"6028	CVE-2024-11740	codename065	Download Manager	The The Download Manager plugin for WordPress is vulnerable to arbitrary shortcode execution in all versions up to, and including, 3.3.03. This is due to the software allowing users to execute an action that does not properly validate a value before running do_shortcode. This makes it possible for unauthenticated attackers to execute arbitrary shortcodes.	neutral	hot",OK
CVE-2024-12281,2026-05-04,hot,2026-02-08,,May 24 2025 run (2024 CVEs),2024\2024-output-may-24.txt,"CVE-2024-12281	Fave Themes	Homey	The Homey theme for WordPress is vulnerable to privilege escalation in all versions up to, and including, 2.4.2. This is due to the plugin allowing users who are registering new accounts to set their own role. This makes it possible for unauthenticated attackers to gain elevated privileges by creating an account with the Editor or Shop Manager role.	hot",OK
CVE-2024-12686,2025-02-02,neutral,2025-01-03,,Jan 3 2025 run (2024 CVEs),2024\2024-predictions.txt,18609	CVE-2024-12686	BeyondTrust	Remote Support(RS) & Privileged Remote Access(PRA)	A vulnerability has been discovered in Privileged Remote Access (PRA) and Remote Support (RS) which can allow an attacker with existing administrative privileges to inject commands and run as a site user.	neutral	hot,OK
