cve,leadtimedays,pred_date,kev_date
CVE-2024-0582,54,01/03/2025,02/26/2025
CVE-2024-0692,173,01/03/2025,06/25/2025
CVE-2024-10586,196,01/03/2025,07/18/2025
CVE-2024-11120,124,01/03/2025,05/07/2025
CVE-2024-11182,132,01/07/2025,05/19/2025
CVE-2024-11303,63,01/07/2025,03/11/2025
CVE-2024-11740,251,01/03/2025,09/11/2025
CVE-2024-12686,10,01/03/2025,01/13/2025
CVE-2024-12856,2,01/03/2025,01/05/2025
CVE-2024-12912,320,01/03/2025,11/19/2025
CVE-2024-13151,52,01/17/2025,03/10/2025
CVE-2024-13159,52,01/17/2025,03/10/2025
CVE-2024-13160,52,01/17/2025,03/10/2025
CVE-2024-13161,52,01/17/2025,03/10/2025
CVE-2024-1561,228,01/03/2025,08/19/2025
CVE-2024-20404,397,01/03/2025,02/04/2026
CVE-2024-20419,287,01/03/2025,10/17/2025
CVE-2024-20439,87,01/03/2025,03/31/2025
CVE-2024-20440,155,01/03/2025,06/07/2025
CVE-2024-2053,395,01/03/2025,02/02/2026
CVE-2024-21407,158,01/03/2025,06/10/2025
CVE-2024-21413,34,01/03/2025,02/06/2025
CVE-2024-21447,54,01/03/2025,02/26/2025
CVE-2024-22024,228,01/03/2025,08/19/2025
CVE-2024-22120,75,01/03/2025,03/19/2025
CVE-2024-24328,26,01/17/2025,02/12/2025
CVE-2024-24329,26,01/17/2025,02/12/2025
CVE-2024-25852,224,01/07/2025,08/19/2025
CVE-2024-28255,224,01/07/2025,08/19/2025
CVE-2024-2862,394,01/03/2025,02/01/2026
CVE-2024-2863,376,01/03/2025,01/14/2026
CVE-2024-28916,54,01/03/2025,02/26/2025
CVE-2024-29028,262,01/07/2025,09/26/2025
CVE-2024-29029,261,01/07/2025,09/25/2025
CVE-2024-29030,262,01/07/2025,09/26/2025
CVE-2024-29059,19,01/17/2025,02/05/2025
CVE-2024-29972,155,01/03/2025,06/07/2025
CVE-2024-29973,227,01/03/2025,08/18/2025
CVE-2024-30090,196,01/17/2025,08/01/2025
CVE-2024-30850,148,01/07/2025,06/04/2025
CVE-2024-31750,223,01/07/2025,08/18/2025
CVE-2024-32238,41,01/17/2025,02/27/2025
CVE-2024-32735,19,01/03/2025,01/22/2025
CVE-2024-32736,19,01/03/2025,01/22/2025
CVE-2024-32737,19,01/03/2025,01/22/2025
CVE-2024-32738,19,01/03/2025,01/22/2025
CVE-2024-32739,19,01/03/2025,01/22/2025
CVE-2024-33326,251,01/17/2025,09/25/2025
CVE-2024-3408,350,01/03/2025,12/19/2025
CVE-2024-34193,185,01/17/2025,07/21/2025
CVE-2024-34257,223,01/07/2025,08/18/2025
CVE-2024-37079,385,01/03/2025,01/23/2026
CVE-2024-38023,96,01/03/2025,04/09/2025
CVE-2024-38024,96,01/03/2025,04/09/2025
CVE-2024-3806,71,01/07/2025,03/19/2025
CVE-2024-38100,54,01/03/2025,02/26/2025
CVE-2024-38196,213,01/03/2025,08/04/2025
CVE-2024-38289,223,01/07/2025,08/18/2025
CVE-2024-38475,118,01/03/2025,05/01/2025
CVE-2024-38514,49,01/07/2025,02/25/2025
CVE-2024-38653,227,01/03/2025,08/18/2025
CVE-2024-41710,36,01/07/2025,02/12/2025
CVE-2024-41713,0,01/07/2025,01/07/2025
CVE-2024-42448,20,01/03/2025,01/23/2025
CVE-2024-42852,212,01/07/2025,08/07/2025
CVE-2024-43360,61,04/08/2025,06/08/2025
CVE-2024-43468,405,01/03/2025,02/12/2026
CVE-2024-44902,335,01/07/2025,12/08/2025
CVE-2024-45884,227,01/07/2025,08/22/2025
CVE-2024-45885,227,01/07/2025,08/22/2025
CVE-2024-45887,227,01/07/2025,08/22/2025
CVE-2024-45888,227,01/07/2025,08/22/2025
CVE-2024-45890,227,01/07/2025,08/22/2025
CVE-2024-45891,227,01/07/2025,08/22/2025
CVE-2024-48074,217,01/17/2025,08/22/2025
CVE-2024-48307,214,01/17/2025,08/19/2025
CVE-2024-4885,59,01/03/2025,03/03/2025
CVE-2024-49035,53,01/03/2025,02/25/2025
CVE-2024-50302,56,01/07/2025,03/04/2025
CVE-2024-50334,223,01/07/2025,08/18/2025
CVE-2024-51211,195,01/07/2025,07/21/2025
CVE-2024-52763,151,01/07/2025,06/07/2025
CVE-2024-53104,33,01/03/2025,02/05/2025
CVE-2024-53150,92,01/07/2025,04/09/2025
CVE-2024-53197,96,01/03/2025,04/09/2025
CVE-2024-5334,176,01/03/2025,06/28/2025
CVE-2024-53375,323,01/07/2025,11/26/2025
CVE-2024-53704,32,01/17/2025,02/18/2025
CVE-2024-53900,316,01/15/2025,11/27/2025
CVE-2024-54006,294,01/17/2025,11/07/2025
CVE-2024-54763,213,01/17/2025,08/18/2025
CVE-2024-54764,213,01/17/2025,08/18/2025
CVE-2024-55550,0,01/07/2025,01/07/2025
CVE-2024-56064,266,01/07/2025,09/30/2025
CVE-2024-56159,263,05/24/2025,02/11/2026
CVE-2024-5827,228,01/03/2025,08/19/2025
CVE-2024-5932,71,01/07/2025,03/19/2025
CVE-2024-6047,124,01/03/2025,05/07/2025
CVE-2024-6205,19,01/03/2025,01/22/2025
CVE-2024-6235,287,01/03/2025,10/17/2025
CVE-2024-6250,413,01/03/2025,02/20/2026
CVE-2024-6298,30,01/03/2025,02/02/2025
CVE-2024-6409,68,01/03/2025,03/12/2025
CVE-2024-6782,382,01/03/2025,01/20/2026
CVE-2024-6893,228,01/03/2025,08/19/2025
CVE-2024-7029,228,01/03/2025,08/19/2025
CVE-2024-7314,144,01/03/2025,05/27/2025
